album_type,id,name,release_date,artist_name,artist_uri
album,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),2016-01-28,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,4Q3ad90GtI0dxyE5ZishAS,ANTI (Deluxe),2016-01-28,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,48i37aZTC1prDr4EcpQeEa,ANTI,2016-01-28,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,3p39yDJtXkSw8QLMmB8yyD,ANTI,2016-01-28,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,7yjQZX94GxVyqDTehxBejk,Unapologetic (Deluxe Version),2013-01-01,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,4HsLpiXxuq5kxvMEALLyrh,Unapologetic (Deluxe Version),2013-01-01,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,5pLlGJrxuQO3jMoQe1XxZY,Unapologetic (Deluxe),2012-12-11,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,4eddbruVtOqw8khwxSH6H2,Unapologetic (Deluxe),2012-12-11,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,0XJya16l3K1J2dEwY19F8z,Unapologetic,2012-12-11,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,4XBfFj0WYyh5mBtU61EdyY,Unapologetic,2012-12-11,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,1ciAVKFdlpLi2eGDlXv6Bo,Unapologetic (Deluxe),2012-12-10,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,5UDXzVwWnn3mDy3mTpQPYb,Unapologetic (Edited Version),2012-12-10,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,3sW7wD2qdMjs7KncaOoIJ5,Talk That Talk (Deluxe),2012-07-18,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,51h0awzHny8CZmIS6ECabP,Talk That Talk (Deluxe),2012-07-18,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,0fuYENc2V5OhrMxu7VxRRr,Unapologetic (Deluxe Version [Edited]),2012-01-01,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,0T23GvNaBUGtMKxZko8LQG,Unapologetic (Edited Version),2012-01-01,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,023AUStvFJD8IzQqFeXRjB,Unapologetic (Standard Version [Edited]),2012-01-01,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,1Kw1bVd07oRqcjrcjQKC8T,Talk That Talk,2011-11-19,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,2g1EakEaW7fPTZC6vBmBCn,Talk That Talk,2011-11-18,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,3oQebIVUPY0IPiROZSIQFl,Talk That Talk (Deluxe Explicit),2011-01-01,Rihanna,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H
album,4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,6AORtDjduMM3bupSWzbTSG,evermore (deluxe version),2021-01-07,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,1DT6fDJL6AWPJxe7Lq1dPb,evermore (deluxe version),2021-01-07,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,40zKHK0aGM4PITqPy5vfQh,evermore,2020-12-11,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,2Xoteh7uEpea4TohMxjtaq,evermore,2020-12-11,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,5jmVg7rwRcgd6ARPAeYNSm,evermore,2020-12-10,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,0PZ7lAru5FDFHuirTkWe9Z,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,3VaaZ7OIbGLi60NVsnueoo,folklore: the long pond studio sessions (from the Disney+ special) [deluxe edition],2020-11-25,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,1pzvBxYgT6OVwJLtHkrdQK,folklore (deluxe version),2020-08-18,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,7v7pe5vZQPWB5zW0JrKRiw,folklore (deluxe version),2020-08-17,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,2fenSS68JI1h4Fo296JfGr,folklore,2020-07-24,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,0xS0iOtxQRoJvfcFcJA5Gv,folklore,2020-07-24,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,1NAmidJlEaVgA3MpcPFYGq,Lover,2019-08-23,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,1MHuZZrGT36cXLxAQ5cLP3,Taylor Swift Karaoke: reputation,2018-03-09,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,6DEjYFkNZh67HP7R9PSZvv,reputation,2017-11-10,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,1Hrs3jLGexOvBoaPMoOQYJ,reputation (Big Machine Radio Release Special),2017-11-10,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,1MPAXuTVL2Ej5x0JHiSPq8,reputation Stadium Tour Surprise Song Playlist,2017-11-09,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,0bEySlRAkuPxV9KVWhXXBr,Taylor Swift Karaoke: 1989 (Deluxe),2015-02-01,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,2QJmrSgbdM35R67eoGQo4j,1989,2014-10-27,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,4uUAUqIfSomFTbbjGp3TYp,1989,2014-10-27,Taylor Swift,spotify:artist:06HL4z0CvFAxyc27GXpf02
album,2hrxJFlQwvPj9dCatdtt8g,The Hamilton Instrumentals,2017-06-30,Original Broadway Cast of Hamilton,spotify:artist:3UUJfRbrA2nTbcg4i0MOwu
single,4bfG6tgqckJhZTKxtBz2PW,Intro to HAMthology,2017-03-10,Original Broadway Cast of Hamilton,spotify:artist:3UUJfRbrA2nTbcg4i0MOwu
single,6FVVGIFaX84f7iojJzzS2N,Intro to HAMthology,2016-02-09,Original Broadway Cast of Hamilton,spotify:artist:3UUJfRbrA2nTbcg4i0MOwu
single,4cFAjuEn9o34V99WZfRmtV,Intro to HAMthology,2015-10-15,Original Broadway Cast of Hamilton,spotify:artist:3UUJfRbrA2nTbcg4i0MOwu
single,1txIrjV2Rh1wdNSgrjJWYu,The HAMthology: Lin-Manuel Miranda's Playlist,2015-08-25,Original Broadway Cast of Hamilton,spotify:artist:3UUJfRbrA2nTbcg4i0MOwu
album,1kCHru7uhxBUdzkm4gzRQc,Hamilton (Original Broadway Cast Recording),2015-09-25,Lin-Manuel Miranda,spotify:artist:4aXXDj9aZnlshx7mzj3W1N
album,19CCWdJcg0C2t9OrfCdDUp,Hamilton (Original Broadway Cast Recording),2015-09-25,Lin-Manuel Miranda,spotify:artist:4aXXDj9aZnlshx7mzj3W1N
album,5AgsHUKFxr5DApRCmulIqJ,The Hamilton Mixtape,2016-12-02,Lin-Manuel Miranda,spotify:artist:4aXXDj9aZnlshx7mzj3W1N
